CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0334,,0,,,,,,,,,,,,,,,
SN_L_0335,,0,,,,,,,,,,,,,,,
SN_L_0336,,0,,,,,,,,,,,,,,,
SN_L_0337,,0,,,,,,,,,,,,,,,
SN_L_0338,,0,,,,,,,,,,,,,,,
SN_L_0339,,0,,,,,,,,,,,,,,,
SN_L_0340,,0,,,,,,,,,,,,,,,
SN_L_0341,,0,,,,,,,,,,,,,,,
SN_L_0342,,0,,,,,,,,,,,,,,,
SN_L_0343,,0,,,,,,,,,,,,,,,
SN_L_0344,,0,,,,,,,,,,,,,,,
SN_L_0345,,0,,,,,,,,,,,,,,,
SN_L_0346,,0,,,,,,,,,,,,,,,
SN_L_0347,,0,,,,,,,,,,,,,,,
SN_L_0348,,0,,,,,,,,,,,,,,,
SN_L_0349,,0,,,,,,,,,,,,,,,
SN_L_0350,,0,,,,,,,,,,,,,,,
SN_L_0351,,0,,,,,,,,,,,,,,,
SN_L_0352,,0,,,,,,,,,,,,,,,
SN_L_0353,,0,,,,,,,,,,,,,,,
SN_L_0354,,0,,,,,,,,,,,,,,,
SN_L_0355,,0,,,,,,,,,,,,,,,
SN_L_0356,,0,,,,,,,,,,,,,,,
SN_L_0357,,0,,,,,,,,,,,,,,,
SN_L_0358,,0,,,,,,,,,,,,,,,
SN_L_0359,,0,,,,,,,,,,,,,,,
SN_L_0360,,0,,,,,,,,,,,,,,,
SN_L_0361,,0,,,,,,,,,,,,,,,
SN_L_0362,,0,,,,,,,,,,,,,,,
SN_L_0363,,0,,,,,,,,,,,,,,,
SN_L_0364,,0,,,,,,,,,,,,,,,
SN_L_0365,,0,,,,,,,,,,,,,,,
SN_L_0366,,0,,,,,,,,,,,,,,,
